name,skin_type,date,date_original,comment
Ariestakk,"Normal, Medium Dark, Neutral",2024-07-04,04 Jul 2024,"Mukaku jenis yang normal to oily, pertama kali pakai teksturnya lembut, wangi, dan cepet banget ngeset dan ngresep jadi oke banget. poin plusnya adalah tidak lengket, jadi dilanjut make up sangat oke. kalau ada promo mau beli lagi, worth to buy!"
Sapphirea,"Combination, Medium Light, Neutral",2024-07-04,04 Jul 2024,"untuk skin barrier produk ini lumayan oke lah, tapi di kulit aku yang super duper kering dia kurang bisa mengunci kelembabannya, jadi pakainya harus banyak, teksturnya oke ringan gitu, ga kerasa dipake terus tiba² habis, isinya dikit sekali ya bund, pernah beli yang 80gr lebih awet dan packagingnya lebih comforting dibanding yang 30gr bentukan jar gitu ya, untuk repurchase mungkin lebih baik langsung yang 80gr aja dijamin lebih worth it"
Dmegaayu,"Dry, Light, Neutral",2024-07-03,03 Jul 2024,"Bagus dimukaku yang kering, teksturenya gel bikin kulit jadi plumpy dan moist hydrate. Kulitku jadi kenyal dan glowing, gak lengket, dan tahan lama. Setelah dipake berbulan-bulan, jarang keluar jerawat, kulit jadi halus pori-pori mengecil"
devinadkh,"Combination, Medium Light, Cool",2024-07-03,03 Jul 2024,"aku beli moist ini sengaja pas kulitku butuh buat memperbaiki skin barrier, so far dikulitku aman tapi dia ga ngasih manfaat apa apa, cuma cocok doang, abistu yaudah gitu ga gimana gimana, kemerahan di kulitku berkurang sedikit tapi ya so far gada smt like wow gtu sih"
lil_manobal_lyrio,"Combination, Medium Light, Neutral",2024-07-02,02 Jul 2024,"Ampun bgtt monangisss kulit aku udah pke ini 3-4 hari langsung kacau bgtt😭 pdhl temen2ku cocom semua dan ini mmg banyak yg blg bagus buat jerawatt tapi malah tambah prah😔 inikan moisturizer yah? Kok kulitku jadi kering kerontang pdahal kombinasi aslinya😔 terus jadi kaya bersisik ituu yaAllah mau nangis🫵🏻🙂 mana muncul jerawat gede2 terus ada jerawat nanah juga yaampun, tolongg dongg yang pernah punya pengalaman yg sama Karna skintific gmna cara sembuhin nyaa udh ga kuatt coba2💔"
salmambrkh,"Dry, Medium Light, Neutral",2024-07-02,02 Jul 2024,"Untuk claimnya yg melembabkan aku setuju bgt, teksturnya gel cream, mudah diratakan, cukup mudah nyerepnya, efeknya hanya melembabkan aja di aku, gak neko2, cuman yaudah aja gitu, tapi untuk harga bersaing bgt masih ada yg efeknya sama tp jauh lebih affordable, good to try😅"
Densy,"Combination, Medium Light, Neutral",2024-07-02,02 Jul 2024,"Bener bener penolong skin barier aku saat berusaha lepas krim dokter. Sebelumnya sempet ragu mau coba karna anak kos shay, takut cocok tp duit kurang, eh barakAllah cocok tapi repurchase terus, ga siaa siaa😍"
aulians28,"Combination, Medium, Neutral",2024-07-02,02 Jul 2024,"moist paling recommended!!! pengalaman aku pribadi pakai moist ini wajah lebih terhidrasi, teksturnya ringan mudah menyerap, efek calming nya dapet banget, untuk mengatasi kemerahan juga oke banget. buat memperbaiki skin barrier juga bagus banget. berkat moist ini jerawat bener bener berkurang banget, bisa ngatasin beruntusan juga di aku. di pake sebelum make up juga oke banget, wajah jadi lembab make up jadi lebih nempel juga."
Sriintan99,"Oily, Medium, Neutral",2024-07-02,02 Jul 2024,"Pengalaman aku pake moisturizer dari skintific ini adalah wajah ku lebih plumpy lebih segar, dan merasa sangat terhidrasi. Namun karena aku mahasiswa yang masih kuliah bagi aku ini sedikit pricy, semoga aku bisa dapat discount ketika menghadiri beautyfes yang diadain sama female daily 🫶🏻"
oxanaacklynozoa,"Combination, Medium, Neutral",2024-07-01,01 Jul 2024,Produk ini bagus bangrt jujur udah pake lama dan hasilnya emang memuaskan banget pokoknya recomended!! Teksturnya juga enak bikin ngelembapin banget biasanya aku pake ini pagi sama malem soalbya emang bikin sehidrasi itu dan seenak itu
vannesasabinas,"Oily, Medium, Neutral",2024-07-01,01 Jul 2024,sumpah holy-grail bgt moisturizer ini apalagi kalau emang kulitnya cocok banget sama moisturizer ini pasti kebantu banget bikin kulit jadi moisturize banget. aku sering bgt kulit ku kadang merah tp cepet reda pake ini. pernah coba mosturizer yang lain tapi balik lagi ke skintific karena udah cocok
BerlianSibuea,"Combination, Medium, Neutral",2024-07-01,01 Jul 2024,"Setelah berkelana mencoba berbagai moosturizer, akhirnya ini yang oke punya di wajahku. Teksturnya light cream ke gel gt, adem, lgsg menunjukkan perubahan pada penggunaan pertama. Cocok utk kulit tekstur normal cenderung berminyak"
mentariyessi,"Normal, Medium Light, Neutral",2024-07-01,01 Jul 2024,"Beli ini karena iklannya ada dimana-mana haha dan semua orang di sekitar ku pasti ada aja yang pake. Jadi deh ikut cobain. Sesuai klaimnya, 5x ceramide untuk kelembaban lebih dalam, setelah pemakaian lebih dari 3 bulan, aku bisa setuju sama klaim itu. Kalo pake di malam hari, besok paginya pasti bangun dalam keadaan kulit glowing! sela hidung dan sudut bibir ku yang suka perih karena kering hempas semua dengan moisturizer satu ini! huhu luv banget pokoknyaaa"
kfirgita,"Oily, Medium Light, Neutral",2024-07-01,01 Jul 2024,"Honest review dri aku,kulitku kurang cocok pake ini jdnya malah lebih berminyak dan kusam,apa emg ga cocok apa gmn ga tau yaaa mungkin hasil dsetiap kulit beda2 jdnya klo aku dsuruh milih mngkin aku skip moisturizer ini,pdhal klaimnya bs perbaikin skin barrier,apa aku yg kurang sbr juga yaa,tp balik lagi cocok2an dan kadang aku suka tergiur sm review yg blg produk ini bagus tp its not work to my skin"
haniard,"Oily, Medium, Neutral",2024-06-30,30 Jun 2024,"moist pertama yang aku beli, dannn... gagal wkwkwk, kesan pertama kusam bgt, dan greasy parah, mukaaku awalnya oke oke aja tp setelah pake ini muncul jerawat tp tetep aku lanjut karna aku mikir ini cuma purging, ternyata engga, nyesel si ga di stop dari awal, sampe sekarang muka ku rusak karna banyak bekas jerawat huhu sad, kemakan iklan dan review review di tt."
nblhadm,"Oily, Medium Light, Cool",2024-06-30,30 Jun 2024,"KECINTAANKU... Pertama pakai dia gak ada baunya, terus yang aku suka dia cepet meresapnya, dia juga bikin make up yang ada diatasnya jadi awet tahan lama, dan yang paling penting dia aman dikulit Oily Acne ku ini, btw aku udah pakai 3 jar :)"
Rizazulfa08,"Combination, Light, Neutral",2024-06-29,29 Jun 2024,"Tekstur mois ini enak si waktu dipake, cepet nyerep juga. Udah habis 1 jar, efeknya belum terlalu kelihatan si di kulit aku. Tapi wajah jdi bette, ga mudah kering. Ini baru mau coba jar ke 2 karena emang candu bangett.Overalbagus Kekurangan cuman cepet abis doang ni moisss😭😭"
anasthasyaab,"Oily, Light, Neutral",2024-06-29,29 Jun 2024,"Teksturnya cepat menyerap, ga ada baunya juga. Hype banget tapi sayang ga cocok di aku. Dia emang cepet ngeringin jerawat lama, tapi kemudian langsung munculin jerawat baru. Jerawatnya yg timbul adalah tipe jerawat batu dan langsung besar-besar. So it's a no from me. :("
Wulan_ayvv,"Oily, Medium, Warm",2024-06-28,28 Jun 2024,Maaf tapi aku seperti nya nggak bakalan repurchase lagi sama produk ini 😭 Jadi 2bulan yang lalu kondisi kulit ku baik-baik aja dan aku baru pertama kali juga pakai skintific barrier ceramide ini. Aku juga nggak ngerti kenapa malam pakai Moisturizer ini trus besok paginya kulit ku langsung bruntusan 😭 Asli bruntusan di jidat dan di dagu banyak banget. Karena ku fikir mungkin aku mau PMS akhirnya aku lanjutin pemakaian untuk besok malamnya tapi ternyata malah parah banget muka aku. Kayaknya aku ada alergi sama Moisturizer ini jadi aku stop pemakaian nggak ku lanjutin lagi
lokuche,"Combination, Medium Dark, Warm",2024-06-28,28 Jun 2024,"hi loaf ini review pertama aku, aku beli moist ini habis 2 jar kecil sama 1 besar, jar 1 bikin muka cerah muka aku juga jadi makin sehat, jar 2-3 ga ada efek cerah tapi bikin muka sehat aja, kalo di pake pagi agak bikin kusem, buat harga segitu sih.. sorry to say ya tapi mahal, dan isi nya tuh dikit"
noviatriii,"Normal, Medium, Neutral",2024-06-28,28 Jun 2024,"Teksturnya creamy, mudah meresap, gaada bau aneh aneh juga. Moist nya kurang nampol sih, tapi kalau untuk base make up aku ngerasanya dia bikin make up tahan bangetttt jadi better pake product ini sebagai base make up deh"
mochihoshi,"Dry, Light, Neutral",2024-06-27,27 Jun 2024,"Salah satu moisturizer yang paling aman di kulitku. Moisturizer ini yang nyembuhin breakout karna skin barrierku yang rusak. Enak banget feel nya di kulit, ngga greasy dan cepat meresap. Moist yang aku pake juga sebagai skinprep makeup. Aku udah pake ini lebih dari setahun dan entah kenapa sekarang moist ini nggak ngasih efek apa2, melembabkannya juga so so. Jadi mungkin ini produk yang bagus sebagai basic skincare dan perbaikan skin barrier tapi kalau yang kulitnya normal mungkin kurang begitu ngerasain efeknya."
amaliamalz,"Dry, Medium Light, Neutral",2024-06-25,25 Jun 2024,"Menurutku hypenya tinggi banget tapi pas kucoba di kulit ga terlalu kasi efek yg gimana gitu, bahkan ga selembab yg ada di ekspektasiku huhu tapi boleh lah kalo misalnya butuh moisturizer yang ringan ini bisa jd opsi kokkk. Tp kuakuin gara gara tiktok aku jadi cobain ini. B aja siii heheheeh"
apriliaayusfna,"Normal, Medium, Cool",2024-06-23,23 Jun 2024,"Pertama kali coba karena penasaran, apakah is it worth the hype, dan bisa kubilang rasanya memang lumayan mirip dengan Neutrogena, tapi gak terlalu kasih efek cooling seperti Neutrogena. Ketika dipakai kurasa memang ya it works like it supposed to, tapi ketika diskip pemakaiannya atau gak lanjut pakai lagi, aku ngerasa kayak ada efek ketergantungan karena saat itu aku langsung ada timbul jerawat lebih dari 1, dan saat itu juga bukan di masa aku harusnya ada jerawat hormonal. Dan saat itu aku putusin untuk gak berani repurchase, karena jaga-jaga kulitku kenapa-kenapa dalam pemakaian jangka lama."
putrirahmadynt,"Dry, Medium Light, Neutral",2024-06-23,23 Jun 2024,"awal fomo karna reviewnya dan pas kondisi kulit lagi breakout parah (kering kemerahan sampe ngelupas2 gitu, bahkan perih pas kena skincare). terus memutuskan untuk coba. pas coba boom, emang bener sebagus itu. setengah tube bisa langsung nyembuhin breakout aku, sejauh ini udh abis 3."
Jessica8568_5,"Oily, Medium Light, Neutral",2024-06-23,23 Jun 2024,"aku udah nunggu-nunggu untuk waktu dimana aku ahkirnya bisa review produk skintifik setelah sekian lamanya.. karena memang produknha tuh lumayan mehong.. tapi dia hasilnya nyata walau butuh banyak konsistensi dan perjuangan untuk ngumpulin duitnya. di aku dia sangat efektif tapi bukan yang kayak "" sehari udah bisa keliatan perubahannya "" tapi , dalam bulan keduanya kagett banget pas temen"" aku liat perubahan di muka aku."
nisaulmfd,"Combination, Medium, Neutral",2024-06-23,23 Jun 2024,"moisturizer yang ternyaman yang pernah aku pake!😭❤️ tekstur creamy tapi ringan abiesssss, super enak kalo di apply cuma emang harus tunggu 1-3 menit sampe menyerap dengan baik. tapi ini beneran enak banget dipakee cinta banget, semoga bisa repurchase lagi huehuee"
Alfiahkhaier,"Oily, Medium, Warm",2024-06-22,22 Jun 2024,"Skintific moisturizer dengan kandungan ceramide ini cukup bagus untuk memperbaiki skin barrier. Buat kamu yang kulitnya kering, mudah jerawatan dll cobain aja karena ceramidenya udah 5x. Untuk acne prone cocok cocok aja apalagi yang jerawatannya karena skin barrier rusak."
ririridhaa15,"Combination, Medium, Warm",2024-06-21,21 Jun 2024,"Akusih cocok bgt pke ini. Udh nyoba beberapa moist, ujung2nya balik lg ke skintific biru. Bagus aja di aku, bkin lembab di kulitku yg combi to oily, ga ada efek gatel2 atau apapun. Dipake pagi2 sblm sunscreen jg ga bkin berminyak parah, malah jd lembab aja enak..."
mayha,"Combination, Medium Light, Neutral",2024-06-21,21 Jun 2024,"Entah udah pake berapa jar, kalau lagi ga mau mikir pake pelembab apa suka balik lagi ke sini, dia cocok untuk segala kondisi kulit, tinggal disesuaikan aja banyak dikit pakenya. Enak bikin lembab ga neko neko bisa di combo pake serum apapun. Pantesan sih banyak yg cocok."
husnafadh,"Normal, Medium Light, Neutral",2024-06-20,20 Jun 2024,"Pake ini waktu lagi viral viralnya. Agak pricey sih menurut aku, karena untuk harga segitu pemakaiannya paling lama cuman 1-2 bulan, isinya dikit banget. Aku kurang cocok sama produk ini karena lama banget nyerap di kulitnya, dan waktu pake skincare step selanjutnya jadi crack gitu gatau kenapa huhu"
fiirasyal,"Normal, Medium Light, Neutral",2024-06-20,20 Jun 2024,emang pantes buat viral !! selalu jadi skincare yang kalo muka lagi kenapa2 baliknya ke dia bagus bgt buat skin barrier yang lagi rusak dari tekstur kandungannya cocok semua di kulit ku yang kombinasi (dry & oily) top bgt minus nya cuma bikin kecanduan aja:)
vaniachandra14,"Combination, Medium Light, Neutral",2024-06-20,20 Jun 2024,"liat review sih bagusss banget yaa sangat works di kulit orang orang . tapi untuk melembabkan dan untuk skin prep sblm makeup bole banget , so far di aku biasa aja karna jarang pake mungkin tapi aku jadikan skin prep before makeup lumayaann melembabkan"
Putri_ds,"Combination, Medium, Neutral",2024-06-19,19 Jun 2024,"“Untuk harga diatas 100k dengan ukuran 30ml mungkin kerasa mahal” itu aku banget sebelum coba pakai. Tapi setelah pakai sekali, auto ga bisa lepass karena bener-bener bisa merawat skin barier ku yg sempat rusak, melembabkan bangett. Bahkan sekarang “ada harga ada rupa, ini sih worth it!”"
cahyanti26,"Combination, Medium, Neutral",2024-06-19,19 Jun 2024,Selama pakai moisturizer ini masih cukup aman sih ke mukaku yang tipe berjerawat. Sudah 2x beli karena bagus. Memang harganya agak pricey tapi masih worth it kok. Teksturnya agak kental warna putih susu. Kalau diaplikasikan ke mukaku gak bikin jadi berminyak.
N1996,"Oily, Medium, Neutral",2024-06-19,19 Jun 2024,"Pertama kali coba produk ini tentunya karena saya fomo abis wkwk di mana-mana banyak yang pake, dan setelah nyoba satu jar ternyata emang cocoook buat kulitkuu. Ngasih efek hydrating, soothing dan aku yang punya skintype acne-prone skin juga jd gak gampang jerawatan. Beneran suka sana produk iniii! Worth the hype & worth the price!"
melisutanto,"Normal, Medium Light, Neutral",2024-06-19,19 Jun 2024,"Sudah berkali kali repurchase skintific moisturizer yang ini. Udah banyak bgt emptiesnya karena sesuka itu! Teksturnya watery gel, ringan banget dan cepet meresap. melembabkan banget, tapi gak bikin kulit berminyak. Suka banget, bakal terus repurchase."
masitaauliarrr,"Oily, Medium, Neutral",2024-06-15,15 Jun 2024,Moisturizer teringannn. Kalau diapply langsung melting jadi watery base gtu. Aman dipakaiiiiiiii acne prone skin. Tapi kalau lg ada jerawat yg radang lumayan cekit 2 🥺 harganya lumayan . Tp bagus untuk mencerahkan sih😍 dan kulit ga fully kering lagiii
elviagrd,"Dry, Light, Neutral",2024-06-15,15 Jun 2024,"Masih menjadi fav moisturizer aku setelah bertahun tahun, packagingnya simple, ga bocor walaupun dibawa travelling, teksturnya light yang creamy, cepet nyerapnya, bener2 berasa ngejaga barrier, mukaku jadi ga terlalu sensitive kalau lg pakai ini, pokoknya luv bgtt"
lakbita,"Combination, Medium Dark, Neutral",2024-06-12,12 Jun 2024,"Pernah pakai sampai habis satu jar. Sejak pakai ini, aku jadi tau kulitku sukany tekstur yang seperti ini.. enak banget cepat meresap. Efek yang aku rasakan, meredahkan kemerahan, lembab lumayan cukup lah yaa buat aku (st: combi to dry pd waktu itu), tapii kadang tuh muncul bruntusan di jidat meskipun ga parah"" amat sii. Untuk kemasannya, sebenarnya ku lebih suka yg modelan tube daripada jar krn mnurut ku lebih higenis, meskipun ini udh dilengkapi dengan spatula. Aku suka, tapi aku masih ingin berkelana mencari moisturizer yang lebih cocok dengan teksture yang mirip 😉"
99pujiilahi,"Dry, Medium Dark, Neutral",2024-06-11,11 Jun 2024,"Udah abis 2 tube pake ini enak bangettt apalagi aku dry skin jdi cocok sama moist yg ‘becek’ kaya gini. Minusnya emg agak pricey aja dan kemasannya beratt jd ga cocok kalo buat travelling, best part pake ini itu ada cooling sensationnya! Overall 8/10🩷"
dndaurelia,"Dry, Medium Light, Warm",2024-06-10,10 Jun 2024,"Aku udh berkali-kali repurchase ini meskipun ga cocok, karena bingung mau pakai pelembab merk apa. Siapa sih yang ga tau moisturizer ini, udh direview sama banyak selebgram/selebtok. Klaimnya bisa melembabkan kulit dan memperbaiki skin barrier. Tapi udh aku coba berkali2 masih gk ada efek apa-apa. Kalau untuk kelembapan oke sih. Cuma ya wanginya menurutku cukup strong, aku kurang suka skincare yang ada wangi-wangian. Akhirnya aku sekarang pakai moisturizer dari Jepang, dibeliin cowokku wkwkwk."
Joyadamanik,"Oily, Medium Light, Neutral",2024-06-09,09 Jun 2024,"Moosture gel ter-ngaruh yang aku pake, btw kulit wajah akutuh sensitif banget, gampang merah-merah dan susah cocok sama skincare, tapi pake moisture gel yang dari skintific bener-bener buat calm dan nenangin kemerahan bahkan jerawat aku"
hannafadyah16,"Combination, Light, Cool",2024-06-09,09 Jun 2024,"Yang aku rasain ini pelembab nya bagus banget, ringan ngatasin beruntusan yang banyak dimuka aku, packagingnya bagus mewah, juga aku cocok banget pake rangkaian dari skintific pokoknya worth to buy banget deh buat kalian yang lagi beruntusan"
Roman_putra,"Oily, Medium Light, Cool",2024-06-09,09 Jun 2024,"Aku snagat suka banget nih pakai produknya karena produk ini bagus untuk kulit sensitif, apalagi kuliah kita merah pakai ini bisa bagus banget, ini sudah menjadi kebutuhan saya sehari hari apalagi mau keluar rumah, Dijamin produknya bagus"
afraaks,"Normal, Medium, Neutral",2024-06-09,09 Jun 2024,"aku suka banget pake skintific moisturizer karena kulit aku sensitif banget, sebelumnya gapernah cocok pake produk apapun, tapi setelah pake inisemingguaman,sebulanaman,dan aman terus tuh, kulit aku ga merah dan membantu banget sehari hari"
Azhary1727,"Normal, Light, Neutral",2024-06-09,09 Jun 2024,Moisturizer terbaikkkkk sejuta umat andalan aku nih. Saking bagusnya sampe terus order kalo habis. Pokoknya jgn sampe kalian ga coba. Sebagus itu produknya. Apalagi harganya jgn ditanyaa udh pasti termurah banget. Jangan ragu lagi deh pokoknya cobain trs produk nya SKINTIFIC 😍😍🛍🛍💓💓
nasywanabila,"Combination, Medium, Neutral",2024-06-09,09 Jun 2024,"moisturaizer yang sangat enakk, sangat melembabkan dan cocok sekali untukk kulit yg kering. mois ini sangat wort it banget buat pemula karna dapat memperbaiki skinbarierr, cocokk juga buat kulit yg jerawatt dan sangat recomend sekalii untuk dibeli!!"
iamylmarc,"Dry, Medium, Neutral",2024-06-09,09 Jun 2024,"Salah satu keunggulan utama Skintific Ceramide 5X adalah teksturnya yang ringan dan mudah meresap ke dalam kulit. Setelah pemakaian, kulit terasa lebih lembut dan kenyal tanpa rasa lengket. Produk ini juga cocok untuk semua jenis kulit, termasuk kulit sensitif, karena formulanya yang lembut dan bebas dari bahan-bahan keras seperti pewangi dan alkohol."
viaelnanda,"Oily, Medium, Neutral",2024-06-09,09 Jun 2024,Moisturizer dari skintific emng sebagus itu untuk di kulit aku yang berminyak dan kurang perawatan moisturizer skintific bisa memperbaikin skin barier yang rusak dan sulit untuk di sembuh kan selain itu moisturaizer bagus untuk sebelum make up
widyamaln,"Combination, Medium Light, Neutral",2024-06-09,09 Jun 2024,"ini produk enak banget di wajah, cepet nyerep, dan hasilnya cepetkeliatan kalo dipake bareng produk skintific lainnya. muka ga gampang jerawatan dan ga muncul beruntusann. beli ini pas diskon dan worth it bgtt"
hafazard,"Oily, Medium Dark, Neutral",2024-06-09,09 Jun 2024,SUKAAA BANGETTT super cintqa bikin ngelembabin mukaa. Pake sebelum tidur pas bangun muka langsung kenyel parah dan terhydrated bgt. Walaupun agak pricey dikit tpi worth to buy karna efeknya mangtapp. tpi sayang isinya sdikit jdi lumayan cepet abis
rutheva,"Oily, Medium Light, Cool",2024-06-09,09 Jun 2024,"moisturizerr yang bener bener mudah menyerap di kulit, cocok banget buat dipake di kulit berminyakk, melembabkan kulit bangett jadinya kulit jadi kenyal setelah pemakaian kurang dari sebulan, harganya juga masih terjangkau di kantong, rekomendedd"
naru9292,"Combination, Medium Light, Neutral",2024-06-09,09 Jun 2024,"Sejak pelembap aku yg lama udah ga produksi lagi, aku coba pelembap skintific ini, syukurnya cocok, teksturnya lotion dan cepat menyerap di kulit kombinasi aku, gak lengket jadi gak berantem sama loose powder aku, ga ada aroma yang aneh, harga nya masih affordable yak dan sekarang udah botol ke 11 aku hahaa"
Sherlycahya14,"Combination, Medium, Neutral",2024-06-09,09 Jun 2024,"bagus bangettttt!!!!!!!! aku udah pake kurang lebih 5 jar dan dimuka aku yang berminyak masih aman banget ga bikin nambah minyakan, ngelembabinnya masik oke banget super recomended buat orang yang kulitnya oily tapi butuh moisturizerr"
Dewidntka,"Oily, Light, Neutral",2024-06-09,09 Jun 2024,Moisturizer nya oke dan gentel bgt buat benerin skin barrier aku. Sangat rekomen bgt buat yg hobi makeup. Selain gentel dia juga melembapkan jd gaperlu double cleansing. Udh gitu sangat affordable harganya. Bener bener love it bgt!❤️❤️❤️ bagussssss bgt pokoknya sampe beli yang tube gitu
Christinanatalia_22,"Oily, Medium Light, Warm",2024-06-09,09 Jun 2024,Moisturizer pertama sejak mulai fokus pake skin care cocok banget buat balikin skin barier cocok buat aku sendiri yang mukanya gampang beruntusan dan oily. Bisa dipake di semua jenis muka dan ga mengecewakan after dipergunakan 2-3 tubes
oktavia_nurul,"Oily, Medium, Neutral",2024-06-09,09 Jun 2024,bagus banget ya kalo aku sih suka karena emang cocokk banget sama aku kan makanya aku suka dan bener bener bikin glowing bange deh aku suka banget yg suka banget dah cocok dicobain semjanya ga aku sih suka banget guys hehe dan harganya suka diskon
dwssnti,"Oily, Medium Light, Neutral",2024-06-09,09 Jun 2024,"Muka langsung bersih dan mulus, jerawat juga berkurang, bruntusan pun hilang, noda jerawat pun hilang, jerawat kempes, dan pokoknya baru kali ini saya menemukan pelembab yg bagus bagus bagus bangeeettttt. Super happy untuk kulitku yang super sensitif ini"
mutiahr,"Normal, Medium Light, Neutral",2024-06-09,09 Jun 2024,pakai moisturizer skintific ini udah lebih dari setahun dan sampai saat ini masih jadi moist terfavorit. teksturnya aku suka bgt dan dia ada sensasi calming yang bikin mukaku kerasa adem aja gitu. meskipun sedikit pricey tapi worth the price
widyaaaafrr,"Oily, Medium Light, Neutral",2024-06-09,09 Jun 2024,"Cukup melembabkan, affordable untuk dibeli kok, cocok juga jadi skin prep make up ya, mudah dibawa kemana mana juga jadi menurutku ini cukup baik untuk menjadi pilihan mousturizer kaliann. Selain jadi skincare bisa untuk base make up juga"
kiranapril,"Dry, Medium Light, Cool",2024-06-09,09 Jun 2024,"Moisturizer yang paling aku suka karena selain harganya affordable ternyata ini cocok buat kulitku yang kering, bener bener hydrate bgt buat dryskin dengan teksturnya yang gel dan ada wanginya yang menurutku ga terlalu menyengat jadi nyaman dipakai"
dewiayyyy,"Oily, Light, Cool",2024-06-09,09 Jun 2024,Kurang suka karena kaya kurang berpengaruh aja menghidrasi sih iya tapi kurang aja hehehe ga sejujurnya gatau karena makenya cuma bentarrrr doang heheheh mungkin untuk productnya sih berpengaruh ya menyembuhkan skin barrier yang russyakkk heheh
saryati,"Combination, Light, Cool",2024-06-09,09 Jun 2024,"Suka banget deh asli enak dipake hya cepat menyerap. Di formulasikan dengan kandungan bahan alami Propolis, aloe Vera, green tea dan delima untuk melindungi kulit dari sinar UV A & UV B serta menutrisi kulit."
nurulksm,"Dry, Medium, Neutral",2024-06-09,09 Jun 2024,"Moisturizer untuk melembabkan kukit wajah cocok untuk kulit yang kering, segala jenis kulit apalagi untuk cuaca yang lagi panas banget sekarang ini. So, tunggu apa lagi buy to buy and puchase to purchase banyak sale looh. Silakan di coba…"
annisaasmaya,"Combination, Medium Light, Neutral",2024-06-09,09 Jun 2024,"Produk ini sangat melembabkan kulit, bikin jerawat gampang sembuhnya dan bikin glowing. Suka banget after pemakaiannya. Harga nya affordable dan mudah dicari. Aku akan repurchase terus untuk produk ini. Aku juga bakal rekomandasiin ke temen."
Virdarizki,"Combination, Light, Neutral",2024-06-09,09 Jun 2024,"Moisturizer terbaik sih ini, best of moisturizer. Skin barrier halus bangett setelah pake 1 bulan, works parah. I recommended of you guys to used this product. 10/10 for me hhehehe dan satu lagi, udh tasya Farasya approve. Jadi ga ragu lagi untuk pke ini"
Destrinnandalia,"Combination, Light, Neutral",2024-06-09,09 Jun 2024,"Kalo untuk moisturaizernya jangan ditanya, ituuu bagus bangettt, yaa walau kadang berat di hargaaa. Moisturaizernya tuh ringan, melembabkan, gak bikin kulit kering dan juga pastinya meredakan jerawat. Pokoknyaa skintifik bagusss banget!!!"
alyaarosyidah,"Combination, Medium Dark, Neutral",2024-06-09,09 Jun 2024,"Ini adalah salah satu produk yang bertahan ku gunakan sampai sekarang. Selain membuat lembab, produk ini juga bikin kulit wajah ku calming, dan jarang jerawatan lagi. Sekarang aku pakai ukiran besarnya karena jauh lebih awet dan gak kotor"
nabilahnada,"Normal, Medium, Neutral",2024-06-09,09 Jun 2024,"Pengalaman pakai moisturizer ini lebih dari setahun dari jaman kuliah sampe sekarang kerasa banget perubahannya, karena kulitku kering kerontang terus ditemuin sama moisturizer ini jadi lembab bgt bonusnya adalah muka jadi cerah ngga kusam. Tapi klo pake moisturizer ini pagi hari jadi kusam."
Luaily_firda_19,"Normal, Medium, Neutral",2024-06-09,09 Jun 2024,Moisturizer yang bikin melembabkan dan meredakan jerawat. Dapat dipakai setiap hari. Bagus dipakai sebelum makeup. Memperbaiki skinbarier yang rusak. Serta mencerahkan kulit yang kusam. Dapat mehilangkan bekas jerawat pasa wajah.
umardangga,"Combination, Medium, Neutral",2024-06-09,09 Jun 2024,Selama pemakaian yang sudah cukup sangat lama ini moisturizer skintific benar benar melembabkan kulit aku banget apalagi kulit yang kombinasi ini butuh kelembaban yang ekstra. teksturnya yang lembut dan nyaman di kulit dan finish yang tidak berminyak benar benar sangat nyaman dipakai.
ririss03,"Oily, Medium Dark, Cool",2024-06-09,09 Jun 2024,"Produk skintific moisturizer ini bagus, produk sangat membuat saya menjadi terasa nyaman saat digunakan, membuat wajah saya menjadi lebih lembab sehingga produks ini membuat muka lebih kenyal saking bagusnya membuat saya lebih terasa terus memakai produk ini"
firaaasgff,"Oily, Light, Cool",2024-06-09,09 Jun 2024,Produknya bagus banget aku pake ini jerawat aku merada bagus banget terus uangnya juga agak menyengat gak buat komedo Aku selalu pakai ini saat jerawat aku merada wangi juga enggak menyengat￼ Selalu aku pake setiap pagi dan malam hariii suka
hijriannisa,"Oily, Medium, Neutral",2024-06-09,09 Jun 2024,Wahhhh gila si ini Skintific dari kulit aku yang gradakan sampe haluss skin barier rusak bekas krim abal abal dalam waktu sebulan bisa membaik aku udah habis 4 tube secinta itu sama moist skintific teksturnya halus ga lengket sama sekali cepat menyerap i love you skintific sering adain promo yaa hehe ❤️‍🔥❤️‍🔥❤️‍🔥
lingrahma,"Oily, Medium Light, Neutral",2024-06-09,09 Jun 2024,"Love this product !!! Moisturizer yang cocok banget di wajah aku , 2tahun terakhir ini gapernah berpaling ke moisturizer lain . Bikin wajah lembab , super duper recomended harga nya juga terjangkau dengan kualitas yang super toppp bangettt"
nadyarosada,"Combination, Medium Light, Neutral",2024-06-09,09 Jun 2024,Buat kalian yang lagi cari moisturizer ini sangat recommended bangett bikin muka jadi lebih keliatan halus dan juga melembabkan kulit bisa juga dicari dimana aja ada di e-commerce juga the best for moisturizer ada harga ada kualitas top banget skintific
feliciaat_,"Combination, Light, Neutral",2024-06-09,09 Jun 2024,"product nya bagus bgt di aku dluu, ga berat tapi bikin moist bgtt, trus karena kandungan ceramide nya jadi bikin kulit agak calming terutama pas kulit aku lagi agak ngamuk 😃 gaada kurangnya sie sbenernyaa, cmn emg after dia reformulasi aku jadii kurang cocok, jadi agak beruntusan :(("
